        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.42000000e+01,        +1.414213562373e-01,        +1.398100860765e-01,        +6.101737522455e-04,        +7.376666407082e-02,        +1.158455915762e-01
 1.43000000e+01,        +1.414213562373e-01,        +1.396695887059e-01,        +7.700320644671e-04,        +7.801132014711e-02,        +1.129985232086e-01
 1.44000000e+01,        +1.414213562373e-01,        +1.395393082536e-01,        +9.406310453096e-04,        +8.214640938417e-02,        +1.099958024590e-01
 1.45000000e+01,        +1.414213562373e-01,        +1.394200712730e-01,        +1.121222224294e-03,        +8.616620988490e-02,        +1.068416475881e-01
 1.46000000e+01,        +1.414213562373e-01,        +1.393126490042e-01,        +1.310992624685e-03,        +9.006516391333e-02,        +1.035404891514e-01
 1.47000000e+01,        +1.414213562373e-01,        +1.392177523162e-01,        +1.509068871166e-03,        +9.383788602842e-02,        +1.000969633409e-01
 1.48000000e+01,        +1.414213562373e-01,        +1.391360269567e-01,        +1.714521694741e-03,        +9.747917091441e-02,        +9.651590498385e-02
 1.49000000e+01,        +1.414213562373e-01,        +1.390680491420e-01,        +1.926370811278e-03,        +1.009840008894e-01,        +9.280234021520e-02
 1.50000000e+01,        +1.414213562373e-01,        +1.390143215151e-01,        +2.143590147605e-03,        +1.043475530756e-01,        +8.896147884293e-02
 1.51000000e+01,        +1.414213562373e-01,        +1.389752695008e-01,        +2.365113386740e-03,        +1.075652062156e-01,        +8.499870642675e-02
 1.52000000e+01,        +1.414213562373e-01,        +1.389512380814e-01,        +2.589839801696e-03,        +1.106325471207e-01,        +8.091957609094e-02
 1.53000000e+01,        +1.414213562373e-01,        +1.389424890166e-01,        +2.816640345331e-03,        +1.135453767407e-01,        +7.672980009365e-02
 1.54000000e+01,        +1.414213562373e-01,        +1.389491985276e-01,        +3.044363961969e-03,        +1.162997158430e-01,        +7.243524117535e-02
 1.55000000e+01,        +1.414213562373e-01,        +1.389714554620e-01,        +3.271844084965e-03,        +1.188918102945e-01,        +6.804190370995e-02
 1.56000000e+01,        +1.414213562373e-01,        +1.390092599550e-01,        +3.497905283099e-03,        +1.213181359382e-01,        +6.355592468221e-02
 1.57000000e+01,        +1.414213562373e-01,        +1.390625225976e-01,        +3.721370017589e-03,        +1.235754030624e-01,        +5.898356451528e-02
 1.58000000e+01,        +1.414213562373e-01,        +1.391310641208e-01,        +3.941065470696e-03,        +1.256605604569e-01,        +5.433119777234e-02
 1.59000000e+01,        +1.414213562373e-01,        +1.392146156015e-01,        +4.155830406299e-03,        +1.275707990589e-01,        +4.960530375585e-02
 1.60000000e+01,        +1.414213562373e-01,        +1.393128191917e-01,        +4.364522022471e-03,        +1.293035551872e-01,        +4.481245702759e-02
 1.61000000e+01,        +1.414213562373e-01,        +1.394252293713e-01,        +4.566022756004e-03,        +1.308565133688e-01,        +3.995931787221e-02
 1.62000000e+01,        +1.414213562373e-01,        +1.395513147202e-01,        +4.759246998959e-03,        +1.322276087634e-01,        +3.505262272584e-02
 1.63000000e+01,        +1.414213562373e-01,        +1.396904602031e-01,        +4.943147687723e-03,        +1.334150291902e-01,        +3.009917459095e-02
 1.64000000e+01,        +1.414213562373e-01,        +1.398419699573e-01,        +5.116722725649e-03,        +1.344172167676e-01,        +2.510583345689e-02
 1.65000000e+01,        +1.414213562373e-01,        +1.400050705699e-01,        +5.279021201221e-03,        +1.352328691714e-01,        +2.007950674483e-02
 1.66000000e+01,        +1.414213562373e-01,        +1.401789148311e-01,        +5.429149364732e-03,        +1.358609405260e-01,        +1.502713979424e-02
 1.67000000e+01,        +1.414213562373e-01,        +1.403625859422e-01,        +5.566276327726e-03,        +1.363006419363e-01,        +9.955706406484e-03
 1.68000000e+01,        +1.414213562373e-01,        +1.405551021603e-01,        +5.689639450922e-03,        +1.365514416746e-01,        +4.872199459854e-03
 1.69000000e+01,        +1.414213562373e-01,        +1.407554218541e-01,        +5.798549387981e-03,        +1.366130650353e-01,        -2.163783915287e-04
 1.70000000e+01,        +1.414213562373e-01,        +1.409624489468e-01,        +5.892394754272e-03,        +1.364854938696e-01,        -5.303023924009e-03
 1.71000000e+01,        +1.414213562373e-01,        +1.411750387162e-01,        +5.970646391796e-03,        +1.361689658153e-01,        -1.038074244665e-02
 1.72000000e+01,        +1.414213562373e-01,        +1.413920039244e-01,        +6.032861203506e-03,        +1.356639732337e-01,        -1.544255679190e-02
 1.73000000e+01,        +1.414213562373e-01,        +1.416121212423e-01,        +6.078685532526e-03,        +1.349712618695e-01,        -2.048151618870e-02
 1.74000000e+01,        +1.414213562373e-01,        +1.418341379381e-01,        +6.107858064121e-03,        +1.340918292443e-01,        -2.549070501377e-02
 1.75000000e+01,        +1.414213562373e-01,        +1.420567787923e-01,        +6.120212230762e-03,        +1.330269227985e-01,        -3.046325141817e-02
 1.76000000e+01,        +1.414213562373e-01,        +1.422787532041e-01,        +6.115678103144e-03,        +1.317780377929e-01,        -3.539233582789e-02
 1.77000000e+01,        +1.414213562373e-01,        +1.424987624511e-01,        +6.094283752694e-03,        +1.303469149816e-01,        -4.027119931818e-02
 1.78000000e+01,        +1.414213562373e-01,        +1.427155070625e-01,        +6.056156073793e-03,        +1.287355380657e-01,        -4.509315186310e-02
 1.79000000e+01,        +1.414213562373e-01,        +1.429276942682e-01,        +6.001521056698e-03,        +1.269461309384e-01,        -4.985158046214e-02
 1.80000000e+01,        +1.414213562373e-01,        +1.431340454819e-01,        +5.930703504953e-03,        +1.249811547282e-01,        -5.453995714723e-02
 1.81000000e+01,        +1.414213562373e-01,        +1.433333037777e-01,        +5.844126193943e-03,        +1.228433046476e-01,        -5.915184687383e-02
 1.82000000e+01,        +1.414213562373e-01,        +1.435242413205e-01,        +5.742308470084e-03,        +1.205355066520e-01,        -6.368091530054e-02
 1.83000000e+01,        +1.414213562373e-01,        +1.437056667075e-01,        +5.625864293051e-03,        +1.180609139129e-01,        -6.812093646174e-02
 1.84000000e+01,        +1.414213562373e-01,        +1.438764321811e-01,        +5.495499726331e-03,        +1.154229031081e-01,        -7.246580033836e-02
 1.85000000e+01,        +1.414213562373e-01,        +1.440354406714e-01,        +5.352009884276e-03,        +1.126250705284e-01,        -7.670952033124e-02
 1.86000000e+01,        +1.414213562373e-01,        +1.441816526295e-01,        +5.196275346710e-03,        +1.096712280014e-01,        -8.084624064184e-02
 1.87000000e+01,        +1.414213562373e-01,        +1.443140926109e-01,        +5.029258055034e-03,        +1.065653986294e-01,        -8.487024356420e-02
 1.88000000e+01,        +1.414213562373e-01,        +1.444318555705e-01,        +4.851996706557e-03,        +1.033118123382e-01,        -8.877595669154e-02
 1.89000000e+01,        +1.414213562373e-01,        +1.445341128322e-01,        +4.665601666634e-03,        +9.991490123192e-02,        -9.255796003998e-02
 1.90000000e+01,        +1.414213562373e-01,        +1.446201176954e-01,        +4.471249420901e-03,        +9.637929474703e-02,        -9.621099309097e-02
 1.91000000e+01,        +1.414213562373e-01,        +1.446892106449e-01,        +4.270176592618e-03,        +9.270981459961e-02,        -9.972996175237e-02
 1.92000000e+01,        +1.414213562373e-01,        +1.447408241291e-01,        +4.063673552735e-03,        +8.891146951672e-02,        -1.031099452374e-01
 1.93000000e+01,        +1.414213562373e-01,        +1.447744868761e-01,        +3.853077652876e-03,        +8.498944974350e-02,        -1.063462028583e-01
 1.94000000e+01,        +1.414213562373e-01,        +1.447898277176e-01,        +3.639766113844e-03,        +8.094912131650e-02,        -1.094341807311e-01
